
Alameda,Alameda County Community Food Bank,"7900 Edgewater Drive, Oakland, CA  94621",Suzan Bateson,(510) 635-3663
Alpine,Food Bank of El Dorado County,"4550 Business Dr., Cameron Park, CA 95682",Mike Sproull,(530) 621-9950
Amador,Interfaith Council of Amador," 12181 Airport Road, Jackson, CA  95642",Beth Stanton,(209) 267-9006
Butte,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Calaveras,The Resource Connection,"206 George Reed Drive & PO Box 919, San Andreas, CA 95249",Tina Mather,(209) 754-1257
Colusa,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Contra Costa,Food Bank of Contra Costa & Solano,"P.O. Box 6324, Concord, CA 94524",Larry Sly,(925) 676-7543
El Dorado,Food Bank of El Dorado County,"4550 Business Dr., Cameron Park, CA 95682
",Mike Sproull,(530) 621-9950
Fresno,Community Food Bank,"3403 E. Central Ave., Fresno, CA 93725",Andy Souza,(559) 237-3663
Glenn,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Humboldt,Food for People,"307 W. 14th St., Eureka, CA 95501",Anne Holcomb,(707) 445-3166
Imperial,Imperial Valley Food Bank,"329 Applestill Rd., El Centro, CA 92243",Sara Griffen,(760) 370-0966
Kern,Community Action Partnership of Kern,"1807 Feliz Drive, Bakersfield, CA 93309",Jaime Orona,(661) 398-4520
Kings,Kings Community Action Organization,"1130 N. 11th Ave., Hanford, CA 93230",Jeff Garner,(559) 582-4386
Los Angeles,Los Angeles Regional Food Bank,"1734 East 41st St., Los Angeles, CA 90058",Michael Flood,(323) 234-3030
Los Angeles,Westside Food Bank,"1710 22nd Street, Santa Monica, CA 90404",Bruce Rankin,(310) 828-6016
Marin,SF-Marin Food Bank,"900 Pennsylvania Ave., San Francisco, CA 94107",Paul Ash,(415) 282-1900
Mendocino,The Fort Bragg Food Bank,"The Fort Bragg Food Bank, 910 North Franklin",Nancy Severy,(707) 964-9404
Merced,Merced County Food Bank,"2000 W. Olive Ave., Merced, CA 95348",Bill Gibbs,(209) 726-3663
Monterey,Food Bank for Monterey County,"815 W. Market, #5, Salinas, CA 93901",Melissa Kendrick,(831) 758-1523
Napa,Community Action of Napa Valley Food Bank,"1766 Industrial Way, Napa, CA 94558",Shirley King,(707) 253-6128
Orange,Orange County Food Bank,"11870 Monarch St., Garden Grove, CA 92841",Mark Lowry,(714) 897-6670
Orange,Second Harvest Food Bank Orange County,"8014 Marine Way, Irvine, CA 92618",Nicole Suydam,(949) 653-2900
Placer,Placer Food Bank,"8284 Industrial Blvd, Roseville, CA 95678",Dave Martinez,(916) 783-0481
Plumas,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Riverside,Food In Need of Distribution (FIND Food Bank),"83775 Citrus Ave., Indio, CA 92201",Lisa Houston,(760) 775-3663
Sacramento,California Emergency Foodlink,"5800 Foodlink Street, Sacramento, CA 95828",John Healey,(916) 387-9000
Sacramento ,Sacramento Food Bank and Family Services,"3333 Third Ave., Sacramento, CA 95817",Blake Young,(916) 456-1980
San Benito,Community Food Bank of San Benito County,"1133 San Felipe Rd., Hollister, CA 95023",Maria Lynn Thomas,(831) 637-0340
San Bernardino,Community Action Partnership of San Bernardino County,"696 S. Tippecanoe Ave., San Bernardino, CA 94208",Patricia Nickols-Butler,(909) 723-1514
San Diego,Feeding San Diego,"9455 Waples St. Ste 135, San Diego, CA 92121",Vince Hall,(858) 452-3663
San Diego,San Diego Food Bank,"9850 Distribution Ave., San Diego, CA 92121",James Floros,(858) 527-1419
San Francisco,SF-Marin Food Bank,"900 Pennsylvania Ave., San Francisco, CA 94107",Paul Ash,(415) 282-1900
San Joaquin,Emergency Foodbank,"7 West Scotts Ave., Stockton, CA 95203",Mike Donaghy ,(209) 464-7369
San Joaquin,Second Harvest Food Bank of San Joaquin and Stanislaus Counties,"704 E Industrial Park Dr., Manteca, CA 95337",Paul Rodrigues,(209) 239-2091
San Luis Obispo,Food Bank Coalition of SLO,"1180 Kendall Road, San Luis Obispo, CA 93401",Kevin Drabinski,(805) 238-4664
San Mateo,Second Harvest Food Bank of Santa Clara & San Mateo Counties,"1050 Bing St., San Carlos, CA 94070",Lesile Bacho,(650) 610-0800
Santa Barbara,Foodbank of Santa Barbara,"4554 Hollister Ave., Santa Barbara, CA 93110",Erik Talkin,(805) 967-5741
Santa Clara,Second Harvest Food Bank of Santa Clara & San Mateo Counties,"750 Curtner Ave., San Jose, CA 95125",Lesile Bacho,(408) 266-8866
Santa Cruz,Second Harvest Food Bank of Santa Cruz County,"800 Ohlone Parkway, Watsonville, CA 95076",Willy Ellliott-McCrea,(831) 722-7110
Shasta,Shasta Senior Nutrition Program,"100 Mercy Oaks Dr., Redding, CA 96003",Marilyn Hanna,(530) 226-3073
Sierra,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Solano,Food Bank of Contra Costa & Solano,"P.O. Box 6324, Concord, CA 94524",Larry Sly,(925) 676-7543
Sonoma,Redwood Empire Food Bank,"3990 Brickway Blvd., Santa Rosa, CA 95403",David Goodman,(707) 523-7900
Stanislaus,Second Harvest Food Bank of San Joaquin and Stanislaus Counties,"704 E Industrial Park Dr., Manteca, CA 95337",Paul Rodrigues,(209) 239-2091
Sutter,Yuba-Sutter Gleaners Food Bank,"760 Stafford Way, Yuba City, CA 95991",Joanne Ellis,(530) 673-3834
Tehama,Community Action Agency of Butte County,"2640 South 5th Ave. Suite 7, Oroville, CA. 95965",Tom Tenorio,(530) 538-7256
Tulare,FoodLink for Tulare County,"611 2nd St, P.O. Box 391, Exeter, CA 93221",Sarah Ramirez,(559) 651-3663 
Tuolumne,Amador-Tuolomne Community Action Agency,"10059 Victoria Way, Jamestown CA ",Deni Avery,(209) 984-3960
Ventura,Food Share of Ventura County,"4156 Southbank Road, Oxnard, CA 93036",Monica White,(805) 983-7100
Yolo,Yolo Food Bank,"1244 Fortna Ave., Woodland, CA 95776",Kevin Sanchez,(530) 668-0690
Yuba,Yuba-Sutter Gleaners Food Bank,"760 Stafford Way, Yuba City, CA 95991",Joanne Ellis,(530) 673-3834
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
